feature,importance
category_encoded,0.542987428423425
latitude_centroid,0.09200143295786364
longitude_centroid,0.08985819223904815
temperature_f,0.078287968980015
humidity_pct,0.06746360550351214
day_num,0.029868595086765013
hour_cos,0.029260062912081556
response_hour,0.025922517891665397
hour_sin,0.020955800073700858
precipitation_mm,0.017884246910857514
is_weekend,0.005510149021065795
