antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Weather_Partly Cloudy, Temp_Hot, Priority_Priority3",Time_Afternoon,0.01892,0.29636,0.01076,0.5687103594080338,1.9189848812526449,1.0,0.005152868800000001,1.6314790196078433,0.4881265059081389,0.0353342965979246,0.3870592339947044,0.30250877668066695
"Weather_Partly Cloudy, Temp_Hot, Priority_Priority2",Time_Afternoon,0.0461,0.29636,0.0262,0.5683297180043384,1.9177004926587204,1.0,0.012537804,1.6300404020100503,0.5016690820888774,0.08284323025358882,0.3865182735551395,0.3283678553579527
"Priority_Priority0, Temp_Hot, Weekday",Time_Afternoon,0.01888,0.29636,0.01072,0.5677966101694916,1.915901640469333,1.0,0.0051247231999999995,1.6280298039215688,0.48725185228456536,0.035202942335478785,0.38576063067689664,0.3019844165707763
"Incident_Trespassing, Time_Morning","Temp_Mild, Priority_Priority2",0.03234,0.16368,0.01014,0.31354359925788494,1.9155889495227576,1.0,0.0048465888,1.2183148108108108,0.49394140222609856,0.05455132343447386,0.17919408749986243,0.18774687294272546
"Incident_Welfare, Weekday",Priority_Priority3,0.07336,0.18924,0.02658,0.3623227917121047,1.914620543817928,1.0,0.0126973536,1.2714269687900812,0.5155219888101755,0.11261757478179815,0.21348215465995446,0.25138967740329393
"Incident_Suspicious, Temp_Mild","Weather_Partly Cloudy, Priority_Priority2",0.03066,0.2233,0.0131,0.42726679712981086,1.9134204976704472,1.0,0.006253622,1.3561288154897495,0.492475008965729,0.05438844141825126,0.2626069230459777,0.24296613479419338
Incident_Welfare,Priority_Priority3,0.10206,0.18924,0.03692,0.36174799137762104,1.9115831292412864,1.0,0.0176061656,1.2702819404359842,0.5310748948882179,0.14513719632046546,0.21277318981896126,0.2784220827739934
"Time_Afternoon, Incident_Traffic",Temp_Hot,0.02514,0.22036,0.01058,0.420843277645187,1.9097988638826782,1.0,0.005040149600000001,1.3461641208791209,0.4886698092890815,0.04503660820704922,0.25714852707042607,0.23442781054159875
"Incident_Suspicious, Weekday","Priority_Priority2, Temp_Warm",0.0632,0.18872,0.02276,0.360126582278481,1.908258702196275,1.0,0.010832895999999998,1.2678757665677545,0.5080722018193032,0.0993192529237214,0.21127919125145572,0.24036426612864278
"Incident_Alarms, Temp_Mild","Weather_Partly Cloudy, Priority_Priority2, Weekday",0.03346,0.1598,0.0102,0.3048416019127317,1.9076445676641534,1.0,0.0048530920000000016,1.208645399828031,0.492264503624613,0.055719436250409704,0.1726274719266028,0.1843356945733871
"Incident_Suspicious, Time_Evening","Priority_Priority2, Temp_Warm",0.03006,0.18872,0.01082,0.35994677312042583,1.9073059194596536,1.0,0.0051470768,1.267519584199584,0.49044297459640485,0.05202923639161377,0.21105755487676983,0.20864019452969151
"Incident_Trespassing, Weather_Clear, Time_Morning",Priority_Priority2,0.01172,0.505,0.01128,0.962457337883959,1.905856114621701,1.0,0.0053614000000000005,13.184999999999999,0.480938011939649,0.02231718898385565,0.9241562381494122,0.4923969857736627
"Incident_Alarms, Temp_Mild, Weekday","Weather_Partly Cloudy, Priority_Priority2",0.02398,0.2233,0.0102,0.4253544620517098,1.9048565250860268,1.0,0.004845266000000001,1.3516158200290276,0.48669707427242537,0.04302345199932512,0.260144794710583,0.23551646076163635
"Weekend, Incident_Welfare",Priority_Priority3,0.0287,0.18924,0.01034,0.36027874564459933,1.9038192012502608,1.0,0.004908812,1.2673644880174293,0.48876767083776335,0.04980732177263969,0.21096100651808097,0.20745917836024091
"Incident_Suspicious, Weekend","Weather_Clear, Priority_Priority2",0.02838,0.20962,0.01132,0.3988724453840733,1.902835823795789,1.0,0.005370984400000001,1.3148290973036343,0.4883273157946915,0.04993823892712194,0.2394448814292787,0.2264374630316989
"Incident_Trespassing, Time_Afternoon, Weekday","Weather_Partly Cloudy, Priority_Priority2",0.02816,0.2233,0.01196,0.42471590909090906,1.9019969059154012,1.0,0.005671872,1.3501155555555553,0.48797825701520703,0.049937369519832984,0.25932265880122196,0.23913807098074338
"Incident_Trespassing, Weekday","Priority_Priority2, Temp_Warm",0.0817,0.18872,0.02932,0.35887392900856796,1.901621073593514,1.0,0.013901576,1.2653985490645285,0.5163158865089549,0.12160929075072585,0.2097351457062518,0.257118185360579
"Incident_Trespassing, Temp_Mild, Time_Morning",Priority_Priority2,0.01056,0.505,0.01014,0.9602272727272727,1.9014401440144013,1.0,0.004807199999999999,12.44571428571428,0.4791425859442577,0.020062522258715524,0.9196510560146923,0.4901532403240324
"Weather_Partly Cloudy, Temp_Hot, Weekday",Time_Afternoon,0.0625,0.29636,0.0352,0.5632,1.9003914158455932,1.0,0.0166775,1.6108974358974362,0.5053787878787879,0.1087561020824322,0.37922801432550735,0.3409872317451748
"Incident_Trespassing, Weekend","Weather_Clear, Priority_Priority2",0.02678,0.20962,0.01066,0.3980582524271844,1.8989516860375175,1.0,0.005046376399999999,1.3130506451612902,0.48641998575510714,0.047222468326393194,0.2384147529380607,0.22445608928963456
"Weather_Partly Cloudy, Incident_Welfare",Priority_Priority3,0.0458,0.18924,0.01644,0.3589519650655022,1.8968081011704832,1.0,0.007772808000000001,1.264741416893733,0.495492077285669,0.07520585544373284,0.20932454125203784,0.22291288804955517
"Incident_Trespassing, Weather_Partly Cloudy, Time_Morning",Priority_Priority2,0.01318,0.505,0.01262,0.9575113808801213,1.896062140356676,1.0,0.005964099999999999,11.650178571428555,0.4789030676294544,0.024962417912809554,0.914164405818427,0.4912507399450112
